Card Name,Type,Mana Cost,Color Identity,Powep,Toughness,Abilities/Effects,Rarity,Set/Edition,Scryfall ID
Borrowed Grace,Instant,{2}{W},['W'],,,"Escalate {1}{W} (Pay this cost for each mode chosen beyond the first.)
Choose one or both —
• Creatures you control get +2/+0 until end of turn.
• Creatures you control get +0/+2 until end of turn.",common,emn,f0067567-3434-4c12-9d4d-04ffc98d012c
Bishop's Soldier,Creature — Vampire Soldier,{1}{W},['W'],2,2,Lifelink,common,xln,d954677c-2de6-440a-90d0-bab2e0c8b4af
Battlefield Raptor,Creature — Bird,{W},['W'],1,2,"Flying, first strike",common,khm,389f0045-218d-41cd-bdca-8a9a0ab1b31b
Benalish Veteran,Creature — Human Soldier,{2}{W},['W'],2,2,"Whenever Benalish Veteran attacks, it gets +1/+1 until end of turn.",common,m12,09a5603a-88c8-4b0c-b091-6d97e873859a
Basri's Acolyte,Creature — Cat Cleric,{2}{W}{W},['W'],2,3,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
When Basri's Acolyte enters, put a +1/+1 counter on each of up to two other target creatures you control.",common,m21,08d1dd97-2675-4953-ab95-d47d23abfe05
Blessed Alliance,Instant,{1}{W},['W'],,,"Escalate {2} (Pay this cost for each mode chosen beyond the first.)
Choose one or more —
• Target player gains 4 life.
• Untap up to two target creatures.
• Target opponent sacrifices an attacking creature.",uncommon,emn,b5805eab-9a32-4c0c-9015-7bdb74ad7634
Battershield Warrior,Creature — Human Warrior,{2}{W},['W'],2,2,Boast — {1}{W}: Creatures you control get +1/+1 until end of turn. (Activate only if this creature attacked this turn and only once each turn.),uncommon,khm,fb79dc85-f85a-4846-9ac3-c75c64ea9c0a
Campaign of Vengeance,Enchantment,{3}{W}{B},"['B', 'W']",,,"Whenever a creature you control attacks, defending player loses 1 life and you gain 1 life.",uncommon,emn,c284997a-cfc3-4ffc-bc25-00c130fb1eb0
Champion of Arashin,Creature — Dog Warrior,{3}{W},['W'],3,2,Lifelink (Damage dealt by this creature also causes you to gain that much life.),common,bbd,2f7e5122-89ff-4a25-96a5-fee5f96da7f2
Chapel Geist,Creature — Spirit,{1}{W}{W},['W'],2,3,Flying,common,ddq,36fcc018-76c2-4246-8eca-b78115d568be
Charging Griffin,Creature — Griffin,{3}{W},['W'],2,2,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Whenever Charging Griffin attacks, it gets +1/+1 until end of turn.",common,ori,d86bd259-bc2f-402c-9e7a-030f9a3781e2
Cathedral Sanctifier,Creature — Human Cleric,{W},['W'],1,1,"When Cathedral Sanctifier enters, you gain 3 life.",common,ddq,de3d0a45-3b3a-4718-9cb8-ff0c2464d634
Cavalry Drillmaster,Creature — Human Knight,{1}{W},['W'],2,1,"When Cavalry Drillmaster enters, target creature gets +2/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)",common,m19,62d2e929-7ae3-4560-9cfa-53b89c8a6016
Circle of Protection: Black,Enchantment,{1}{W},['W'],,,"{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.",common,ice,d528045d-3b80-48fd-b606-c132da052685
Collar the Culprit,Instant,{3}{W},['W'],,,Destroy target creature with toughness 4 or greater.,common,grn,cdf305b7-d1f7-4770-9201-8f3fb6735cd9
Crusader of Odric,Creature — Human Soldier,{2}{W},['W'],*,*,Crusader of Odric's power and toughness are each equal to the number of creatures you control.,common,2xm,b81e6aaa-aea4-4187-a4ca-fbbea0d10c7d
Demystify,Instant,{W},['W'],,,Destroy target enchantment.,common,xln,e3979b88-ac58-420a-8c03-37ea5d93d0f1
Dauntless Cathar,Creature — Human Soldier,{2}{W},['W'],3,2,"{1}{W}, Exile Dauntless Cathar from your graveyard: Create a 1/1 white Spirit creature token with flying. Activate only as a sorcery.",common,a25,5b49b72c-16dc-45c7-ba76-545c4dec42d9
Dauntless Aven,Creature — Bird Warrior,{2}{W},['W'],2,1,"Flying
Whenever Dauntless Aven attacks, untap target creature you control.",common,hou,01e6320c-6f8b-4582-ad11-9b868bff08a1
Dauntless Onslaught,Instant,{2}{W},['W'],,,Up to two target creatures each get +2/+2 until end of turn.,uncommon,ddo,0da57140-ccd3-4729-a892-fe2bb719d410
Deputy of Acquittals,Creature — Human Wizard,{W}{U},"['U', 'W']",2,2,"Flash (You may cast this spell any time you could cast an instant.)
When Deputy of Acquittals enters, you may return another target creature you control to its owner's hand.",common,rvr,d2bd4630-9623-4a41-bc16-c017e63f8122
Desperate Sentry,Creature — Human Soldier,{2}{W},['W'],1,2,"When Desperate Sentry dies, create a 3/2 colorless Eldrazi Horror creature token.
Delirium — Desperate Sentry gets +3/+0 as long as there are four or more card types among cards in your graveyard.",common,emn,4135c619-fcff-4339-b778-31dd83e68fcb
Dancing Sword,Artifact — Equipment,{1}{W},['W'],,,"Equipped creature gets +2/+1.
When equipped creature dies, you may have Dancing Sword become a 2/1 Construct artifact creature with flying and ward {1}. If you do, it isn't an Equipment.
Equip {1}",rare,afr,9c3d7824-1297-408c-a11f-0622cab9c4c3
Divine Favor,Enchantment — Aura,{1}{W},['W'],,,"Enchant creature
When Divine Favor enters, you gain 3 life.
Enchanted creature gets +1/+3.",common,m15,43c1ddf8-e38a-44df-9195-40e2b0d4cd5f
Doomed Traveler,Creature — Human Soldier,{W},['W'],1,1,"When Doomed Traveler dies, create a 1/1 white Spirit creature token with flying.",common,clu,8a03d414-bff9-4aba-8b0a-0ed57982251e
Doomskar Oracle,Creature — Human Cleric,{2}{W},['W'],3,2,"Whenever you cast your second spell each turn, you gain 2 life.
Foretell {W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)",common,khm,6dae01c8-15bb-44ad-a2c6-9bcf7a9e8c17
Disenchant,Instant,{1}{W},['W'],,,Destroy target artifact or enchantment.,common,znr,5c37ba56-e22c-4b10-821a-2827c5cd81ad
Dromoka Captain,Creature — Human Soldier,{2}{W},['W'],1,1,"First strike
Whenever Dromoka Captain attacks, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)",uncommon,dtk,2d11837c-613f-4e36-b5dd-99baf8b38532
Dromoka Warrior,Creature — Human Warrior,{1}{W},['W'],3,1,,common,dtk,13ae001b-556f-4576-8cf4-0b8902997bb1
Emancipation Angel,Creature — Angel,{1}{W}{W},['W'],3,3,"Flying
When Emancipation Angel enters, return a permanent you control to its owner's hand.",uncommon,uma,189e0728-94e3-43af-a341-d2bbb33b6b32
Emissary of the Sleepless,Creature — Spirit,{4}{W},['W'],2,4,"Flying
When Emissary of the Sleepless enters, if a creature died this turn, create a 1/1 white Spirit creature token with flying.",common,soi,cc5fa496-a830-4031-a19a-d6467d074ad1
Elder Cathar,Creature — Human Soldier,{2}{W},['W'],2,2,"When Elder Cathar dies, put a +1/+1 counter on target creature you control. If that creature is a Human, put two +1/+1 counters on it instead.",common,ddq,26c38fbf-09ab-46fc-905e-ca45a85d794b
Fiend Binder,Creature — Human Soldier,{3}{W},['W'],3,2,"Whenever Fiend Binder attacks, tap target creature defending player controls.",common,emn,d0870d21-603f-4d36-8054-943adba06301
Fiend Hunter,Creature — Human Cleric,{1}{W}{W},['W'],1,3,"When Fiend Hunter enters, you may exile another target creature.
When Fiend Hunter leaves the battlefield, return the exiled card to the battlefield under its owner's control.",uncommon,uma,f02e3c30-e540-4d7b-a17b-3eece63743cb
Farsight Adept,Creature — Kor Wizard,{2}{W},['W'],3,3,"When Farsight Adept enters, you and target opponent each draw a card.",common,znr,5949bb9a-b4e8-4992-a12d-8e31953aff0d
"Faramir, Prince of Ithilien",Legendary Creature — Human Noble,{2}{W}{U},"['U', 'W']",3,3,"At the beginning of your end step, choose an opponent. At the beginning of that player's next end step, you draw a card if they didn't attack you that turn. Otherwise, create three 1/1 white Human Soldier creature tokens.",rare,ltr,2faf5eee-c378-4ddf-a172-c0a703757fff
Give No Ground,Instant,{3}{W},['W'],,,Target creature gets +2/+6 until end of turn and can block any number of creatures this turn.,uncommon,emn,1cb3347a-9b32-46a4-a621-4ae5244ba2f5
Glaring Aegis,Enchantment — Aura,{W},['W'],,,"Enchant creature
When Glaring Aegis enters, tap target creature an opponent controls.
Enchanted creature gets +1/+3.",common,m20,daa83dc2-4ec0-4e4f-8bfd-4f6d6df06a2d
Giant Ox,Creature — Ox,{1}{W},['W'],0,6,Giant Ox crews Vehicles using its toughness rather than its power.,common,khm,fc71d8ca-c613-4534-bc9d-bc1e13202a2c
Glory Seeker,Creature — Human Soldier,{1}{W},['W'],2,2,,common,9ed,4979748a-4820-4c6a-b4b0-1bfb46e2817a
Gideon Jura,Legendary Planeswalker — Gideon,{3}{W}{W},['W'],,,"+2: During target opponent's next turn, creatures that player controls attack Gideon Jura if able.
−2: Destroy target tapped creature.
0: Until end of turn, Gideon Jura becomes a 6/6 Human Soldier creature that's still a planeswalker. Prevent all damage that would be dealt to him this turn.",mythic,cmm,d608df31-bcc6-4fec-89f1-5cefe5c2ec99
Goldnight Redeemer,Creature — Angel,{4}{W}{W},['W'],4,4,"Flying
When Goldnight Redeemer enters, you gain 2 life for each other creature you control.",uncommon,ddq,9396d218-35e4-4457-9f3a-18bae368b526
Glimpse the Sun God,Instant,{X}{W},['W'],,,Tap X target creatures. Scry 1. (Look at the top card of your library. You may put that card on the bottom.),uncommon,bng,f241e5f7-3168-4bd2-b586-185aad3ae9d9
Great Hart,Creature — Elk,{3}{W},['W'],2,4,,common,bng,70cd7d2b-e9c4-4900-89a0-f6eb0c6cb22b
Goldmeadow Harrier,Creature — Kithkin Soldier,{W},['W'],1,1,"{W}, {T}: Tap target creature.",common,ddf,e5fc15af-532d-4124-9dd4-2584c00c89da
Gods Willing,Instant,{W},['W'],,,"Target creature you control gains protection from the color of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that color.)
Scry 1.",common,clu,138f0e49-71d5-4582-92be-797e753f0f42
Hopeful Eidolon,Enchantment Creature — Spirit,{W},['W'],1,1,"Bestow {3}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Enchanted creature gets +1/+1 and has lifelink.",common,ths,4c69995b-ef31-4635-8d5a-b31f73993364
Haazda Snare Squad,Creature — Human Soldier,{2}{W},['W'],1,4,"Whenever Haazda Snare Squad attacks, you may pay {W}. If you do, tap target creature an opponent controls.",common,dgm,85d3c012-f356-424d-a960-60e95f395134
Herald of Dromoka,Creature — Human Warrior,{1}{W},['W'],2,2,"Vigilance
Other Warrior creatures you control have vigilance.",common,dtk,8987b2af-66d6-4271-a139-37e544cdec62
Icatian Scout,Creature — Human Soldier Scout,{W},['W'],1,1,"{1}, {T}: Target creature gains first strike until end of turn.",common,fem,86bf4aaa-a9b1-4798-a96b-c3e35afb77f7
Impeccable Timing,Instant,{1}{W},['W'],,,Impeccable Timing deals 3 damage to target attacking or blocking creature.,common,kld,2921c95e-bf2f-409b-a41d-86d873690562
Imperious Oligarch,Creature — Human Cleric,{W}{B},"['B', 'W']",2,1,"Vigilance
Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)",common,rna,fd27ba9e-5b9c-468f-9a44-bf2e89138e72
"Isperia, Supreme Judge",Legendary Creature — Sphinx,{2}{W}{W}{U}{U},"['U', 'W']",6,4,"Flying
Whenever a creature attacks you or a planeswalker you control, you may draw a card.",mythic,c20,1e3b82a7-ebef-4190-9f50-40b992ba89c9
Intrusive Packbeast,Creature — Beast,{4}{W},['W'],3,3,"Vigilance
When Intrusive Packbeast enters, tap up to two target creatures your opponents control.",common,grn,49266f3c-4b43-4175-8bac-16789ba6f4b9
Ixalan's Binding,Enchantment,{3}{W},['W'],,,"When Ixalan's Binding enters, exile target nonland permanent an opponent controls until Ixalan's Binding leaves the battlefield.
Your opponents can't cast spells with the same name as the exiled card.",uncommon,xln,5f3c8c31-ceb8-4a2c-beb6-0ff5f7b6ae07
Judge of Currents,Creature — Merfolk Wizard,{1}{W},['W'],1,1,"Whenever a Merfolk you control becomes tapped, you may gain 1 life.",common,lrw,3073f3f5-bff8-4ec1-a68f-c83d63435843
Kor Sky Climber,Creature — Kor Soldier Ally,{2}{W},['W'],3,2,{1}{W}: Kor Sky Climber gains flying until end of turn.,common,ogw,54938334-ebad-4dde-82e6-8c854aef4a91
Knight of New Benalia,Creature — Human Knight,{1}{W},['W'],3,1,,common,dom,88c50c4b-a2c8-4cdc-a171-aa3ff9ef107f
Kabira Outrider,Creature — Human Warrior,{3}{W},['W'],3,3,"When Kabira Outrider enters, target creature gets +1/+1 until end of turn for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)",common,znr,53c81719-f820-4674-9cfb-cd5eaf0c1f0d
Knight of the Pilgrim's Road,Creature — Human Knight,{2}{W},['W'],3,2,"Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)",common,ori,b9de5f39-b07a-4272-8992-ed971132c9c4
Kithkin Greatheart,Creature — Kithkin Soldier,{1}{W},['W'],2,1,"As long as you control a Giant, Kithkin Greatheart gets +1/+1 and has first strike.",common,mma,777d091f-7718-434f-894d-2fe40e0e67dd
Kor Castigator,Creature — Kor Wizard Ally,{1}{W},['W'],3,1,Kor Castigator can't be blocked by Eldrazi Scions.,common,bfz,f4db2f0e-d7d4-417b-9b94-5ade727907e9
Loxodon Restorer,Creature — Elephant Cleric,{4}{W}{W},['W'],3,4,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When Loxodon Restorer enters, you gain 4 life.",common,grn,1ead2166-a7ca-49cb-bf93-2f59c37b4cb9
Lairwatch Giant,Creature — Giant Warrior,{5}{W},['W'],5,3,"Lairwatch Giant can block an additional creature each combat.
Whenever Lairwatch Giant blocks two or more creatures, it gains first strike until end of turn.",common,lrw,c64ba1c8-b93a-4169-9ba0-d3fc5bf57676
Lyev Decree,Sorcery,{1}{W},['W'],,,"Detain up to two target creatures your opponents control. (Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)",common,dgm,773cf2aa-4337-4d14-8a8e-ff8b1fdec1b5
Lunarch Mantle,Enchantment — Aura,{1}{W},['W'],,,"Enchant creature
Enchanted creature gets +2/+2 and has ""{1}, Sacrifice a permanent: This creature gains flying until end of turn.""",common,a25,0d63c045-5563-4ecd-804b-d4a77209501f
Loyal Pegasus,Creature — Pegasus,{W},['W'],2,1,"Flying
Loyal Pegasus can't attack or block alone.",uncommon,m20,7cae7971-953b-454a-84dd-ae2974946da9
Mighty Leap,Instant,{1}{W},['W'],,,Target creature gets +2/+2 and gains flying until end of turn.,common,ogw,4e25089b-5a5f-4cb5-9261-be6cb6b45b22
Moorland Inquisitor,Creature — Human Soldier,{1}{W},['W'],2,2,{2}{W}: Moorland Inquisitor gains first strike until end of turn. (It deals combat damage before creatures without first strike.),common,m20,9d7b1446-7c9f-4b62-9877-e3d1060948aa
Mortal's Ardor,Instant,{W},['W'],,,Target creature gets +1/+1 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.),common,ddo,75743f66-fd2d-47e7-b56f-1c95311d09c2
Maze Sentinel,Creature — Elemental,{5}{W},['W'],3,6,"Vigilance
Multicolored creatures you control have vigilance.",common,dgm,7a977e2d-a2bc-42d1-be7d-36a822c6a66e
Makindi Aeronaut,Creature — Kor Scout Ally,{1}{W},['W'],1,3,Flying,common,ogw,a35d3113-6cb7-4b74-94a3-8160d9ac1b89
Master Skald,Creature — Dwarf Warrior,{4}{W},['W'],4,4,"When Master Skald enters, you may exile a creature card from your graveyard. If you do, return target artifact or enchantment card from your graveyard to your hand.",common,khm,6b269e27-8e17-4bf2-b28a-a83ecc7d22c0
Nearheath Chaplain,Creature — Human Cleric,{3}{W},['W'],3,1,"Lifelink
{2}{W}, Exile Nearheath Chaplain from your graveyard: Create two 1/1 white Spirit creature tokens with flying. Activate only as a sorcery.",uncommon,soi,362ec364-39c1-4a4b-8dfa-268fad2effdd
Nahiri's Binding,Enchantment — Aura,{1}{W}{W},['W'],,,"Enchant creature or planeswalker
Enchanted permanent can't attack or block, and its activated abilities can't be activated.",common,znr,421eac28-d6f2-44f2-b7ca-eb73fbf23887
Neck Snap,Instant,{3}{W},['W'],,,Destroy target attacking or blocking creature.,common,lrw,fc326b79-363e-4c14-86e4-23041f2d6b4f
Ninth Bridge Patrol,Creature — Dwarf Soldier,{1}{W},['W'],1,1,"Whenever another creature you control leaves the battlefield, put a +1/+1 counter on Ninth Bridge Patrol.",common,cmr,4a9555fe-fa1d-4af9-90a4-c3f91e0edd9b
Oketra's Avenger,Creature — Human Warrior,{1}{W},['W'],3,1,"You may exert Oketra's Avenger as it attacks. When you do, prevent all combat damage that would be dealt to it this turn. (An exerted creature won't untap during your next untap step.)",common,hou,06a644b4-a2f7-4219-935b-237936b07948
Oreskos Swiftclaw,Creature — Cat Warrior,{1}{W},['W'],3,1,,common,m19,0ea1dfb4-1983-41f7-956c-f2a1d1489b54
Oaken Brawler,Creature — Treefolk Warrior,{3}{W},['W'],2,4,"When Oaken Brawler enters, clash with an opponent. If you win, put a +1/+1 counter on Oaken Brawler. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)",common,lrw,e9fdb060-8f4d-453a-9516-92c390fbc85a
Observant Alseid,Enchantment Creature — Nymph,{2}{W},['W'],2,2,"Bestow {4}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
Vigilance
Enchanted creature gets +2/+2 and has vigilance.",common,ths,e1410d10-476a-4ed2-ae44-75383ed0e359
Plains,Basic Land — Plains,,[],,,({T}: Add {W}.),common,m20,e9495172-6fde-4aae-b47e-fc887440120e
Plains,Basic Land — Plains,,[],,,({T}: Add {W}.),common,c18,83fbc748-fe45-4b06-b2ec-71087f7225ec
Plains,Basic Land — Plains,,[],,,({T}: Add {W}.),common,cma,af6db62d-62de-4b63-938c-2d2c946c5aca
Plains,Basic Land — Plains,,[],,,({T}: Add {W}.),common,m21,0d4e5bc1-f0c3-4ea7-a549-c36d932103b1
Plains,Basic Land — Plains,,[],,,({T}: Add {W}.),common,m21,4be96696-aff8-4ef9-97dc-8221ef745de9
Plains,Basic Land — Plains,,[],,,({T}: Add {W}.),common,m21,8a299a1e-1ce9-4668-a5f5-c587081acf6b
Plains,Basic Land — Plains,,[],,,({T}: Add {W}.),common,ddn,cd97a3ed-e266-4cf3-bdf3-305d87373742
Plains,Basic Land — Plains,,[],,,({T}: Add {W}.),common,cma,b251c9f7-7df5-4abf-afd7-813999996dfe
Pacifism,Enchantment — Aura,{1}{W},['W'],,,"Enchant creature
Enchanted creature can't attack or block.",common,dtk,f7939502-d6aa-4bde-b42f-67ed433f95f1
Peace Talks,Sorcery,{1}{W},['W'],,,"This turn and next turn, creatures can't attack, and players and permanents can't be the targets of spells or activated abilities.",uncommon,vis,21da279d-a723-4902-bf84-dfe2c569d4c8
Propeller Pioneer,Creature — Human Artificer,{3}{W},['W'],2,1,"Flying
Fabricate 1 (When this creature enters, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)",common,kld,cee60224-960a-4f92-996a-7b0b878109e4
Prowling Felidar,Creature — Cat Beast,{3}{W},['W'],2,3,"Vigilance
Landfall — Whenever a land you control enters, put a +1/+1 counter on Prowling Felidar.",common,znr,e8df0aed-dd2b-4f1e-8dfe-aec07462b1e1
Puncturing Light,Instant,{1}{W},['W'],,,Destroy target attacking or blocking creature with power 3 or less.,common,soi,5b101264-4994-43b7-9156-228f7d10d2bd
Revoke Existence,Sorcery,{1}{W},['W'],,,Exile target artifact or enchantment.,common,2xm,7bd4fc26-8351-4371-948b-f43346c3e771
Revoke Privileges,Enchantment — Aura,{2}{W},['W'],,,"Enchant creature
Enchanted creature can't attack, block, or crew Vehicles.",common,kld,84e44502-f4e4-440a-92b1-97bfb6314820
Resupply,Instant,{5}{W},['W'],,,"You gain 6 life.
Draw a card.",common,dtk,ecf47c52-4065-4b81-acdc-878e74767bba
Repel the Abominable,Instant,{1}{W},['W'],,,Prevent all damage that would be dealt this turn by non-Human sources.,uncommon,emn,cf153f4d-0d37-41a9-80d8-7f2adaad79c7
Surge of Thoughtweft,Kindred Instant — Kithkin,{1}{W},['W'],,,"Creatures you control get +1/+1 until end of turn. If you control a Kithkin, draw a card.",common,lrw,e0b61fb2-11e5-45ae-873d-85f79f161950
Surge of Righteousness,Instant,{1}{W},['W'],,,Destroy target black or red creature that's attacking or blocking. You gain 2 life.,uncommon,dtk,114366f3-237f-4f96-b644-5bd82d97b18b
Scale Blessing,Instant,{3}{W},['W'],,,"Bolster 1, then put a +1/+1 counter on each creature you control with a +1/+1 counter on it. (To bolster 1, choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)",uncommon,2x2,79d5ed22-c0af-47dd-b6e8-49b51e354c7d
Sudden Salvation,Instant,{2}{W}{W},['W'],,,Choose up to three target permanent cards in graveyards that were put there from the battlefield this turn. Return them to the battlefield tapped under their owners' control. You draw a card for each opponent who controls one or more of those permanents.,rare,voc,ded1c959-454c-4336-8eb5-0160c49d895d
Soaring Hope,Enchantment — Aura,{4}{W},['W'],,,"Enchant creature
When Soaring Hope enters, you gain 3 life.
Enchanted creature has flying.
{W}: Put Soaring Hope on top of its owner's library.",common,lrw,7f6c24b1-af9d-4a9c-9167-faa8a397a361
Springjack Knight,Creature — Kithkin Knight,{2}{W},['W'],2,1,"Whenever Springjack Knight attacks, clash with an opponent. If you win, target creature gains double strike until end of turn. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)",common,lrw,75fa0c72-427b-4797-b5b1-15f07fc5fa07
Spawnbinder Mage,Creature — Human Wizard Ally,{3}{W},['W'],2,4,"Cohort — {T}, Tap an untapped Ally you control: Tap target creature.",common,ogw,5677bd49-69eb-41dc-8e64-2df3b7f5c45f
Shepherd of Heroes,Creature — Angel Cleric,{4}{W},['W'],3,4,"Flying
When Shepherd of Heroes enters, you gain 2 life for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)",common,znr,1f70baa3-5232-4e10-80b4-a9ead6ed6ec3
Sentry of the Underworld,Creature — Griffin Skeleton,{3}{W}{B},"['B', 'W']",3,3,"Flying, vigilance
{W}{B}, Pay 3 life: Regenerate Sentry of the Underworld.",uncommon,ths,018a9c98-1cb4-4c53-a765-c15808c4ab44
Skyswirl Harrier,Creature — Bird,{4}{W},['W'],3,4,Flying,common,kld,b951bc89-be0b-4330-8a13-e196e084d53c
Spectral Reserves,Sorcery,{3}{W},['W'],,,Create two 1/1 white Spirit creature tokens with flying. You gain 2 life.,common,emn,7618aa2d-d5b3-41e6-978f-2c8292f7f896
Sanctum Spirit,Creature — Spirit,{3}{W},['W'],3,2,"Lifelink
Discard a historic card: Sanctum Spirit gains indestructible until end of turn. (Artifacts, legendaries, and Sagas are historic.)",common,2xm,86322472-52e5-4af4-8a41-1ccc3ff6fd92
Sigardian Priest,Creature — Human Cleric,{1}{W},['W'],1,2,"{1}, {T}: Tap target non-Human creature.",common,emn,f8e798c7-0cbc-444e-8033-629baec7dca8
Strongarm Monk,Creature — Human Monk,{4}{W},['W'],3,3,"Whenever you cast a noncreature spell, creatures you control get +1/+1 until end of turn.",uncommon,dtk,0f5f5ead-b9e0-44c0-893f-0e3ae01933d3
Siege Mastodon,Creature — Elephant,{4}{W},['W'],3,5,,common,m20,71fd27a8-2de6-454f-8174-a60918bfe60e
Solitary Camel,Creature — Camel,{2}{W},['W'],3,2,Solitary Camel has lifelink as long as you control a Desert or there is a Desert card in your graveyard. (Damage dealt by this creature also causes you to gain that much life.),common,hou,8adb8dbf-c83c-4169-b822-8e32aa36cffa
In the Presence of Ages,Instant,{2}{G},['G'],,,Reveal the top four cards of your library. You may put a creature card and/or a land card from among them into your hand. Put the rest into your graveyard.,common,lci,97b1be22-3177-49af-bb06-42497d717c21
